,longitude,latitude,price_sqm,living_area_sqm,price,cluster
52,25.1169493213405,60.59386275,"[4003, 4153]","[86.0, 48.0]","[344258.0, 199344.0]",4
53,25.1169806665935,60.5913774,"[4550, 4543, 5528]","[86.0, 60.0, 65.0]","[391300.0, 272580.0, 359320.0]",0
54,25.117549601935806,60.59257255,[4651],[63.0],[293013.0],2
55,25.1175654588803,60.5916735,[4819],[63.0],[303597.0],5
56,25.117663848347807,60.59370550000001,[3766],[53.0],[199598.0],1
57,25.118103518748608,60.5919785,[4632],[117.5],[544260.0],0
58,25.11821589237,60.58939960000001,[3705],[75.0],[277875.0],4
59,25.118267570585605,60.59326575,"[5272, 5111]","[31.0, 31.0]","[163432.0, 158441.0]",1
60,25.118361617588896,60.58830945,"[3629, 4228]","[53.5, 29.5]","[194151.5, 124726.0]",1
61,25.118586494260608,60.59256695,"[4049, 3671, 3766, 4669]","[53.0, 53.0, 53.0, 38.0]","[214597.0, 194563.0, 199598.0, 177422.0]",1
62,25.118603409960297,60.58861579999999,[5268],[24.0],[126432.0],0
63,25.119375541,60.5872822,[5014],[51.1],[256215.4],4
64,25.119985924426604,60.5872967,"[4091, 4043]","[97.0, 109.0]","[396827.0, 440687.0]",10
65,25.1208219428372,60.58843525,[6443],[30.0],[193290.0],1
66,25.12120415,60.58764195,[4480],[96.5],[432320.0],0
67,25.121629560531698,60.58848829999999,[4054],[112.0],[454048.0],0
68,25.121645446385397,60.58910755,"[4416, 4107]","[55.0, 55.0]","[242880.0, 225885.0]",0
69,25.12194275,60.5876869,"[4595, 4015]","[36.5, 78.0]","[167717.5, 313170.0]",0
70,25.122666319632106,60.58929435,"[4370, 4919, 4288, 5810, 4423, 5071, 4333]","[75.0, 49.0, 55.0, 36.0, 36.0, 83.0, 48.0]","[327750.0, 241031.0, 235840.0, 209160.0, 159228.0, 420893.0, 207984.0]",4
71,25.122840611658006,60.58822475,"[3798, 3453]","[58.0, 58.0]","[220284.0, 200274.0]",1
72,25.123547226542396,60.58957855,"[4893, 4239, 4909, 5437, 4143]","[34.0, 51.0, 51.0, 34.0, 50.0]","[166362.0, 216189.0, 250359.0, 184858.0, 207150.0]",1
73,25.124033758353896,60.58894385,[4537],[72.0],[326664.0],0
74,25.124263003361307,60.5898085,"[5092, 4843]","[39.0, 50.0]","[198588.0, 242150.0]",1
75,25.124740056363503,60.58916925,"[4386, 3476, 3310, 3617, 4243, 3657]","[72.0, 60.0, 60.0, 57.0, 40.0, 72.0]","[315792.0, 208560.0, 198600.0, 206169.0, 169720.0, 263304.0]",1
76,25.1249742889428,60.59000705,"[4976, 4893, 6143]","[36.0, 100.0, 25.0]","[179136.0, 489300.0, 153575.0]",4
77,25.125029202088598,60.588325,[4443],[100.0],[444300.0],0
78,25.125420262315306,60.58940005,"[3472, 5726, 4443, 3518, 3976]","[70.0, 24.0, 35.0, 72.0, 60.0]","[243040.0, 137424.0, 155505.0, 253296.0, 238560.0]",1
79,25.1257230586062,60.5902991,"[4367, 4634, 4489]","[67.0, 56.0, 52.0]","[292589.0, 259504.0, 233428.0]",4
80,25.125879237126604,60.5889331,"[3984, 3866]","[67.0, 47.0]","[266928.0, 181702.0]",1
81,25.126003552874106,60.59098535,"[4816, 4220, 5105]","[52.0, 52.0, 52.0]","[250432.0, 219440.0, 265460.0]",1
82,25.1261202,60.58964029999999,"[4435, 4310, 3654]","[48.0, 60.0, 92.0]","[212880.0, 258600.0, 336168.0]",4
83,25.126491080845103,60.59166425,"[4720, 4609]","[52.0, 29.0]","[245440.0, 133661.0]",1
84,25.1267030409283,60.59202445,"[3870, 2716, 3873, 3826, 3319, 3851]","[55.0, 55.0, 63.0, 63.0, 51.0, 48.0]","[212850.0, 149380.0, 243999.0, 241038.0, 169269.0, 184848.0]",1
85,25.1267827059687,60.5886416,"[5909, 4521, 6215, 5626]","[29.0, 67.5, 29.0, 29.0]","[171361.0, 305167.5, 180235.0, 163154.0]",1
86,25.126812860226803,60.59247220000001,"[5736, 3643, 3669, 6995]","[27.0, 74.0, 57.0, 27.0]","[154872.0, 269582.0, 209133.0, 188865.0]",1
87,25.1268936477025,60.58985550000001,"[4634, 4983]","[53.0, 52.0]","[245602.0, 259116.0]",4
88,25.1271205,60.5902503,"[4228, 4490, 4548, 4013, 3610, 5004]","[94.0, 95.0, 74.0, 92.0, 60.0, 72.0]","[397432.0, 426550.0, 336552.0, 369196.0, 216600.0, 360288.0]",6
89,25.12726475733989,60.59345895,[4969],[46.0],[228574.0],1
90,25.127275848851298,60.59399545,"[3907, 4497]","[72.0, 72.0]","[281304.0, 323784.0]",5
91,25.1273460525803,60.59112070000001,"[7013, 6543, 5408, 4685]","[25.0, 25.0, 41.5, 41.5]","[175325.0, 163575.0, 224432.0, 194427.5]",1
